category,amt,city,state,lat,long,city_pop,job,merch_lat,merch_long,is_fraud,age,trans_hour,trans_dayofweek,distance_km
entertainment,12.85,Hawthorne,CA,33.9143,-118.3493,93193,"Editor, magazine features",34.436244,-118.228511,0,25,17,5,59.091675285590725
shopping_net,2.12,Rock Springs,WY,41.606,-109.23,27971,Music therapist,41.960734,-109.673451,0,35,23,2,53.92392460190676
entertainment,68.19,Helm,CA,36.4992,-120.0936,123,Early years teacher,36.669117,-120.405206,0,47,18,6,33.63140258498883
grocery_pos,53.99,Tekoa,WA,47.2271,-117.0819,895,Clothing/textile technologist,47.369144,-117.165081,0,20,3,1,16.994573792061477
shopping_net,123.61,Lakeport,CA,39.047,-122.9328,11256,Podiatrist,39.405640000000005,-122.747569,0,47,21,6,42.95231403666718
shopping_pos,2.12,Unionville,MO,40.4815,-92.9951,3805,"Investment banker, corporate",40.458693,-92.918307,0,70,1,1,6.973474289320515
grocery_pos,221.87,Kansas City,MO,38.9621,-94.5959,545147,Counsellor,39.430692,-94.988709,0,32,7,4,62.134863882561284
misc_pos,8.26,Burlington,WA,48.4786,-122.3345,14871,Public house manager,47.518157,-121.732104,0,46,5,2,115.81991379463837
gas_transport,69.81,Freedom,WY,43.0172,-111.0292,471,"Education officer, museum",42.599648,-111.302823,0,52,3,3,51.51635353769502
gas_transport,49.6,Matthews,MO,36.7154,-89.6287,1019,Aeronautical engineer,35.928269,-88.72000200000001,0,40,10,4,119.53215005155187
home,146.74,Norwalk,CA,33.9056,-118.0818,105549,Firefighter,33.549392,-117.838524,0,46,23,1,45.552085474368056
misc_pos,556.18,Mesa,ID,44.6255,-116.4493,129,Cartographer,44.908266,-116.031815,0,53,11,3,45.550809981168484
gas_transport,55.06,Lowell,OR,43.92100000000001,-122.7806,1420,Systems analyst,43.781493,-123.045906,0,53,3,0,26.329163383547225
home,246.43,Sun City,CA,33.7467,-117.1721,54287,"Designer, exhibition/display",33.640195,-117.637378,0,47,15,1,44.64506709825248
misc_pos,112.07,Burbank,WA,46.1966,-118.9017,3684,Musician,46.412795,-118.129884,0,38,2,0,63.975882925421004
shopping_net,5.75,Utica,MO,39.7417,-93.6289,271,Land/geomatics surveyor,38.777544,-93.965245,0,47,21,5,111.0510759198948
health_fitness,2.69,Tekoa,WA,47.2271,-117.0819,895,Clothing/textile technologist,46.410642,-116.57316000000002,0,21,16,6,98.6939833800996
misc_pos,701.15,Sutherland,NE,41.1558,-101.136,1789,Insurance broker,41.9,-100.760832,0,38,20,6,88.44813089985176
food_dining,72.81,Napa,CA,38.4549,-122.2564,94014,Airline pilot,39.099828,-121.317349,0,34,20,6,108.48420195548219
travel,3.53,Campbell,NE,40.2967,-98.737,493,"Surveyor, minerals",39.383264,-99.490495,0,78,18,6,120.22811645267532
food_dining,76.75,Albuquerque,NM,35.1506,-106.569,641349,Civil Service administrator,34.519098,-107.550955,0,43,17,5,113.85373598913843
shopping_pos,3.66,Redford,MO,37.3272,-91.0243,241,Investment analyst,36.657293,-91.863129,0,45,15,2,105.35043939212648
food_dining,106.92,Meredith,CO,39.3199,-106.6596,61,Public relations account executive,39.335872,-105.875634,0,81,22,1,67.4542967016134
gas_transport,75.66,Sixes,OR,42.825,-124.4409,217,Retail merchandiser,42.944959,-125.151077,0,91,9,3,59.37899050520767
shopping_pos,3.12,Vinton,CA,40.0235,-120.7986,128,Education administrator,39.650086,-120.621857,0,53,0,6,44.17905499757251
grocery_pos,81.18,Sutherland,NE,41.1558,-101.136,1789,Insurance broker,40.968504,-101.578444,0,38,6,0,42.54122208382873
food_dining,63.92,San Jose,CA,37.3304,-121.7913,973849,Geoscientist,38.297228,-122.094035,0,23,17,1,110.7465399430278
grocery_pos,54.5,Norwalk,CA,33.9056,-118.0818,105549,Firefighter,33.204575,-117.607412,0,45,8,3,89.4908371332196
shopping_net,4.23,Redford,MO,37.3272,-91.0243,241,Investment analyst,36.400219,-91.098137,0,45,20,1,103.2846663863523
gas_transport,33.96,Saint Louis,MO,38.6171,-90.4504,927396,Occupational hygienist,38.961893,-89.888726,0,59,4,5,61.96534567603396
kids_pets,47.28,Meadville,MO,39.7795,-93.3014,964,Tourist information centre manager,40.075006,-92.471041,0,45,21,2,78.0579617162587
shopping_pos,6.37,Moriarty,NM,34.9889,-106.0609,7268,"Therapist, art",34.845252,-105.429746,0,31,13,1,59.72269722302087
entertainment,4.13,Owensville,MO,38.3511,-91.4867,6703,Naval architect,38.492814,-91.400064,0,20,19,6,17.472090301601884
gas_transport,72.34,Corona,CA,33.8419,-117.6043,233717,Wellsite geologist,33.908047,-117.595037,0,54,9,3,7.404757156152616
shopping_net,53.58,Browning,MO,40.029,-93.1607,602,Cytogeneticist,40.348956,-93.491725,0,65,9,4,45.34761148167013
home,83.49,Athena,OR,45.8289,-118.4971,1302,Dealer,44.914983,-118.477762,0,43,17,0,101.63415924308613
health_fitness,121.56,Redford,MO,37.3272,-91.0243,241,Investment analyst,36.351891,-90.535843,0,44,13,3,116.83600125998026
shopping_net,222.49,Espanola,NM,35.9866,-106.0654,18408,Historic buildings inspector/conservation officer,35.070589,-106.722863,0,47,17,6,117.9583281549865
entertainment,5.28,Broomfield,CO,39.8854,-105.1139,92337,"Engineer, electronics",39.315047,-106.09837,0,51,11,2,105.52816738417945
home,57.98,Sutherland,NE,41.1558,-101.136,1789,Insurance broker,41.132911,-100.248202,0,37,19,2,74.38371937088093
grocery_net,75.85,Littleton,CO,39.5994,-105.0044,320420,Water engineer,38.912874,-105.030734,0,45,2,5,76.37187228635202
grocery_net,56.63,Nelson,NE,40.201,-98.0684,732,Television/film/video producer,39.962845,-98.192089,0,63,11,0,28.49585984367678
food_dining,8.12,Hawthorne,CA,33.9143,-118.3493,93193,"Editor, magazine features",34.538563,-117.499459,0,25,21,5,104.51317791676026
misc_pos,217.56,Tekoa,WA,47.2271,-117.0819,895,Clothing/textile technologist,46.826817,-116.472726,0,20,17,4,64.13274992001254
home,46.74,Manley,NE,40.9207,-96.168,206,Human resources officer,41.889101,-96.677026,0,51,19,0,115.74733052724734
misc_net,1.89,Westfir,OR,43.7575,-122.481,597,Forensic psychologist,42.787409,-123.346904,0,59,8,1,128.64664811928324
shopping_net,6.27,Superior,AZ,33.2887,-111.0985,2872,Petroleum engineer,33.202361,-110.91626200000002,0,32,17,6,19.477686389092476
personal_care,15.38,Newhall,CA,34.3795,-118.523,34882,Health physicist,35.339244,-119.021919,0,48,22,4,116.02166838768943
gas_transport,53.75,Centerview,MO,38.7897,-93.8702,2368,Electronics engineer,38.342037,-93.333984,0,30,6,4,68.19980353666239
grocery_pos,108.7,Meadville,MO,39.7795,-93.3014,964,Tourist information centre manager,40.233362,-92.7262,0,45,10,5,70.3349896746352
grocery_net,89.07,Issaquah,WA,47.4974,-122.0107,50489,Osteopath,46.657159,-121.337577,0,35,0,6,106.4293677521027
grocery_pos,136.83,Huslia,AK,65.6899,-156.292,277,"Engineer, civil (consulting)",64.932214,-156.136382,0,55,1,2,84.56022761536191
shopping_pos,4.33,Paradise Valley,AZ,33.5494,-111.9565,17047,Building surveyor,34.022893,-112.513918,0,85,11,0,73.65950183550531
entertainment,87.43,Laguna Hills,CA,33.615,-117.7114,45303,Sales executive,34.289421000000004,-117.672409,0,50,6,5,75.07837788509472
grocery_pos,154.93,June Lake,CA,37.7773,-119.0825,633,Health service manager,37.41613,-119.302665,0,92,0,4,44.599221763988446
gas_transport,63.51,North Loup,NE,41.4972,-98.7858,509,"Nurse, children's",41.520653,-99.510784,0,38,6,1,60.42452400147073
grocery_net,37.02,Espanola,NM,35.9866,-106.0654,18408,Historic buildings inspector/conservation officer,35.224737,-106.64461,0,47,11,4,99.59208324539911
shopping_pos,7.72,Napa,CA,38.4549,-122.2564,94014,Airline pilot,38.69588,-122.250831,0,35,21,5,26.800126322633055
shopping_pos,4.91,Wales,AK,64.7556,-165.6723,145,"Administrator, education",65.075168,-166.597306,0,80,0,6,56.250370287586826
health_fitness,19.42,Altonah,UT,40.3207,-110.436,302,"Sales professional, IT",40.676989,-111.091545,0,30,19,5,68.13167802786148
shopping_pos,4.18,Littleton,CO,39.5994,-105.0044,320420,Water engineer,38.654822,-104.045539,0,45,19,6,133.6873195281968
grocery_net,54.83,Sun City,CA,33.7467,-117.1721,54287,"Designer, exhibition/display",34.507043,-117.579832,0,48,1,1,92.50166405935047
grocery_net,28.02,Espanola,NM,35.9866,-106.0654,18408,Historic buildings inspector/conservation officer,36.234142,-106.515674,0,47,3,1,48.926275378316916
grocery_pos,106.84,Rocky Mount,MO,38.2911,-92.7059,1847,Tax inspector,37.873478000000006,-91.832862,0,31,0,3,89.41549914912923
personal_care,8.81,Ballwin,MO,38.577,-90.5255,92608,"Engineer, communications",38.943725,-90.877628,0,18,12,1,50.94137623173775
gas_transport,126.5,Unionville,MO,40.4815,-92.9951,3805,"Investment banker, corporate",40.92915,-93.017084,0,69,11,3,49.810891130392996
gas_transport,71.2,Louisiana,MO,39.4336,-91.0664,4593,"Teacher, early years/pre",39.896385,-91.444018,0,78,7,4,60.76851412632897
home,53.23,Newhall,CA,34.3795,-118.523,34882,Health physicist,35.293265000000005,-118.787941,0,49,13,5,104.44352211890995
gas_transport,67.96,Omaha,NE,41.2064,-95.9953,518429,"Surveyor, land/geomatics",40.364036,-95.599668,0,23,10,0,99.41266845660653
grocery_net,68.66,Independence,MO,39.1412,-94.3515,123373,"Engineer, production",39.429809000000006,-93.642827,0,26,10,6,68.91918953905194
grocery_pos,153.96,Campbell,NE,40.2967,-98.737,493,"Surveyor, minerals",40.871795,-99.610206,0,79,4,0,97.60453137248595
personal_care,22.19,Cascade Locks,OR,45.67100000000001,-121.8686,1288,Barrister,46.406693,-121.067606,0,82,17,5,102.54011214621183
grocery_pos,93.11,Helm,CA,36.4992,-120.0936,123,Early years teacher,37.002978000000006,-120.442328,0,47,6,4,64.05676750332333
grocery_pos,181.41,Newhall,CA,34.3795,-118.523,34882,Health physicist,34.008485,-117.909732,0,48,3,0,69.88139634259727
misc_net,5.34,Loving,NM,32.274,-104.0914,1925,Educational psychologist,31.886215000000004,-104.881315,0,67,11,3,86.01155644434522
gas_transport,46.25,Grenada,CA,41.6125,-122.5258,589,Systems analyst,40.891708,-122.434131,0,73,5,5,80.51392798559706
gas_transport,62.66,Glendale,CA,34.1556,-118.2322,172817,Advertising account planner,34.730208000000005,-118.230379,0,36,7,1,63.89371261973482
kids_pets,10.43,Roseland,NE,40.4591,-98.5551,463,"Nurse, mental health",40.98788,-99.279554,0,70,22,4,84.75973626161347
entertainment,79.23,Lowell,OR,43.92100000000001,-122.7806,1420,Systems analyst,44.777137,-123.606397,0,53,19,0,115.6459129634118
grocery_pos,173.48,Burlington,WA,48.4786,-122.3345,14871,Public house manager,48.629291,-121.348544,0,45,9,6,74.47668206607436
health_fitness,33.01,Port Costa,CA,38.046,-122.1866,198,Armed forces training and education officer,38.094295,-121.58614,0,59,21,3,52.83713237738565
shopping_net,6.09,Fullerton,NE,41.36600000000001,-98.0054,1749,"Surveyor, mining",41.577897,-97.1691,0,47,19,1,73.5529052228549
gas_transport,56.3,Kent,OR,45.0838,-120.6649,60,Museum education officer,45.454608,-121.364422,0,77,1,6,68.53253285832355
home,129.07,Centerview,MO,38.7897,-93.8702,2368,Electronics engineer,39.282569,-93.739177,0,29,12,5,55.960684205806416
grocery_pos,91.28,Orient,WA,48.8878,-118.2105,149,Special educational needs teacher,49.523542,-119.191939,0,41,11,0,100.40246933367443
grocery_net,104.79,Meridian,ID,43.6498,-116.4306,84106,Intelligence analyst,43.07864,-116.21856499999998,0,48,11,5,65.78242392091505
health_fitness,49.67,Newberg,OR,45.3099,-122.9685,28278,Research scientist (physical sciences),46.260865,-123.854544,0,42,12,1,126.10068029546633
shopping_pos,26.2,Westerville,NE,41.4193,-99.3844,73,Product designer,40.881164,-98.475262,0,84,11,3,96.82322243150361
misc_net,7.46,Mesa,ID,44.6255,-116.4493,129,Cartographer,44.051975,-116.079231,0,53,0,4,70.23652153740728
misc_net,1.72,Manville,WY,42.73,-104.7024,241,Educational psychologist,43.021035,-103.797797,0,39,5,1,80.5040066665316
shopping_pos,2.3,Altonah,UT,40.3207,-110.436,302,"Sales professional, IT",40.001296,-111.086052,0,29,13,1,65.67270004983453
misc_net,2.52,Ruidoso,NM,33.3305,-105.6933,8874,Licensed conveyancer,32.335166,-106.194795,0,19,18,0,120.18541298701238
entertainment,1.92,North Loup,NE,41.4972,-98.7858,509,"Nurse, children's",41.584137,-98.088858,0,39,14,1,58.80476418613859
misc_pos,240.98,Tekoa,WA,47.2271,-117.0819,895,Clothing/textile technologist,47.064301,-116.128943,0,21,14,1,74.3081189331591
grocery_pos,173.12,Sun City,CA,33.7467,-117.1721,54287,"Designer, exhibition/display",33.657519,-116.287093,0,47,0,0,82.4672869786059
shopping_pos,5.52,Littleton,CO,39.5994,-105.0044,320420,Water engineer,40.073513,-105.804196,0,43,19,0,86.27086117431503
home,71.99,Brainard,NE,41.1832,-96.9882,614,Associate Professor,41.157318,-96.552445,0,52,20,0,36.58720837061524
shopping_net,9.02,Weeping Water,NE,40.8731,-96.1528,1517,Dealer,40.136593,-95.638299,0,68,3,1,92.73109651048141
personal_care,36.14,Crownpoint,NM,35.7206,-108.0271,5662,IT consultant,36.331316,-108.085689,0,31,15,4,68.11260735048324
travel,9.99,Cardwell,MO,36.0434,-90.2907,1120,Television floor manager,36.959928000000005,-89.635074,0,62,13,3,117.55964764691855
misc_pos,30.65,Fort Washakie,WY,43.0048,-108.8964,1645,Freight forwarder,43.900549,-108.920231,0,44,6,4,99.6213174597982
misc_pos,14.5,Meridian,ID,43.6498,-116.4306,84106,Intelligence analyst,43.302583,-116.118562,0,48,14,3,46.09310456846241
grocery_pos,100.0,Centerview,MO,38.7897,-93.8702,2368,Electronics engineer,38.571999,-93.968899,0,30,8,2,25.678601464889027
grocery_net,34.08,Colorado Springs,CO,38.8881,-104.6556,525713,Museum/gallery exhibitions officer,37.92767,-105.370486,0,28,10,5,123.63237083998682
grocery_net,38.96,Conway,WA,48.34,-122.3456,85,"Research officer, political party",48.131946,-123.057869,0,35,11,5,57.602311782035166
food_dining,66.74,Littleton,CO,39.5994,-105.0044,320420,Water engineer,40.124968,-104.425439,0,44,21,0,76.53179477014996
