hour,hour_label,day_of_week,day_name,month,month_name,age,city_pop,distance,log_amt,is_fraud,category_food_dining,category_gas_transport,category_grocery_net,category_grocery_pos,category_health_fitness,category_home,category_kids_pets,category_misc_net,category_misc_pos,category_personal_care,category_shopping_net,category_shopping_pos,category_travel
0,12:16 AM,4,Thursday,8,August,51,206,0.5711205886325732,1.430311246536665,0,False,False,False,False,False,False,False,False,False,False,False,False,False
5,05:38 AM,4,Thursday,10,October,62,1120,0.6963874636759322,1.324418957401803,0,False,False,False,False,False,False,False,False,False,False,False,True,False
13,01:56 PM,2,Tuesday,11,November,31,5662,0.7244305910637604,5.153984995658116,0,False,False,False,False,False,False,False,False,False,False,False,False,False
4,04:25 AM,1,Monday,3,March,51,614,1.0837922041433876,4.433551152327272,0,False,False,False,False,False,False,False,False,False,False,True,False,False
4,04:49 AM,7,Sunday,2,February,47,18408,0.8693136517603987,4.292512127466133,0,False,True,False,False,False,False,False,False,False,False,False,False,False
7,07:57 AM,3,Wednesday,7,July,37,1789,0.788216038723524,4.674509664066704,0,False,False,False,True,False,False,False,False,False,False,False,False,False
0,12:50 AM,3,Wednesday,6,June,46,18408,0.7214204652073615,4.312274546483423,0,False,True,False,False,False,False,False,False,False,False,False,False,False
18,06:57 PM,7,Sunday,11,November,32,832,0.2017368811546381,3.884651808632014,0,False,False,False,False,False,False,True,False,False,False,False,False,False
19,07:30 PM,6,Saturday,6,June,38,42817,0.5897830780863313,2.9407479652212314,0,False,False,False,False,False,True,False,False,False,False,False,False,False
15,03:49 PM,5,Friday,12,December,48,34882,0.3957405494525408,2.498973906999436,0,False,False,False,False,False,False,True,False,False,False,False,False,False
23,11:50 PM,4,Thursday,2,February,44,964,0.9573945385680848,6.580389452857024,1,False,False,False,False,False,False,False,True,False,False,False,False,False
8,08:07 AM,1,Monday,11,November,33,2872,0.3582022802635417,3.157000421150113,0,False,False,False,False,False,False,False,True,False,False,False,False,False
13,01:55 PM,1,Monday,6,June,36,59705,0.3379852045060537,2.54002594900908,0,False,False,False,False,False,True,False,False,False,False,False,False,False
13,01:38 PM,1,Monday,11,November,58,247,1.090176761411198,4.850779482017964,0,False,False,False,False,True,False,False,False,False,False,False,False,False
20,08:16 PM,2,Tuesday,3,March,46,105549,0.9985914120730202,1.601405740736836,0,False,False,False,False,False,False,False,False,False,True,False,False,False
2,02:13 AM,6,Saturday,12,December,91,1063,0.8130273045556332,2.2823823856765264,0,False,False,False,False,False,False,False,True,False,False,False,False,False
20,08:13 PM,5,Friday,8,August,53,1725,0.3426492658214851,2.797281334830153,0,False,False,False,False,False,False,True,False,False,False,False,False,False
12,12:22 PM,6,Saturday,8,August,43,190249,0.9436354481562208,1.7749523509116738,0,False,False,False,False,True,False,False,False,False,False,False,False,False
18,06:59 PM,7,Sunday,11,November,36,27971,0.4732743586483405,7.100579819169237,0,False,False,False,False,False,False,False,False,False,False,True,False,False
22,10:18 PM,7,Sunday,5,May,46,110,1.0864218483834926,4.345232973844869,0,False,False,False,False,True,False,False,False,False,False,False,False,False
11,11:17 AM,6,Saturday,12,December,65,337,1.0492210853485542,1.6808279085207734,0,False,False,False,False,False,False,False,False,False,False,False,True,False
